charges,krs,uorCode
Assault,,
Assault - 4th Degree No Visible Injury,508030,7950
Att Assault - 4th Degree No Visible Injury,508030,7951
Solc Assault - 4th Degree No Visible Injury,508030,7952
Cons Assault - 4th Degree No Visible Injury,508030,7953
Facl Assault - 4th Degree No Visible Injury,508030,7954
Comp Assault - 4th Degree No Visible Injury,508030,7955
Assault - 4th Degree Minor Injury,508030,7960
Att Assault - 4th Degree Minor Injury,508030,7961
Solc Assault - 4th Degree Minor Injury,508030,7962
Cons Assault - 4th Degree Minor Injury,508030,7963
Facl Assault - 4th Degree Minor Injury,508030,7964
Comp Assault - 4th Degree MInor Injury,508030,7965
Assault - 4th Degree Domestic Violence No Visible Injury,508030,7970
Att Assault - 4th Degree Domestic Violence No Visible Injury,508030,7971
Solc Assault - 4th Degree Domestic Violence No Visible Injury,508030,7972
Cons Assault - 4th Degree Domestic Violence No Visible Injury,508030,7973
Facl Assault - 4th Degree Domestic Violence No Visible Injury,508030,7974
Comp Assault - 4th Degree Domestic Violence No Visible Injury,508030,7975
Enh Assault - 4th Degree Domestic Violence No Visible Injury,508030,7976
Assault - 4th Degree Domestic Violence Minor Injury,508030,7980
Att Assault - 4th Degree Domestic Violence Minor Injury,508030,7981
Solc Assault - 4th Degree Domestic Violence Minor Injury,508030,7982
Cons Assault - 4th Degree Domestic Violence Minor Injury,508030,7983
Facl Assault - 4th Degree Domestic Violence Minor Injury,508030,7984
Comp Assault - 4th Degree Domestic Violence MInor Injury,508030,7985
Enh Assault - 4th Degree Domestic Violence Minor Injury,508030,7986
Assault - 4th Degree Child Abuse,508030,7990
Att Assault - 4th Degree Child Abuse,508030,7991
Solc Assault - 4th Degree Child Abuse,508030,7992
Cons Assault - 4th Degree Child Abuse,508030,7993
Facl Assault - 4th Degree Child Abuse,508030,7994
Comp Assault - 4th Degree Child Abuse,508030,7995
Enh Assault - 4th Degree Child Abuse,508030,7996
Burglary,,
Burglary 2nd Degree ,511030,220610
Att Burglary 2nd Degree ,511030,220611
Solc Burglary 2nd Degree ,511030,220612
Cons Burglary 2nd Degree ,511030,220613
Facl Burglary 2nd Degree,511030,220614
Comp Burglary 2nd Degree ,511030,220615
Burglary 3rd Degree ,511040,220620
Att Burglary 3rd Degree ,511040,220621
Solc Burglary 3rd Degree ,511040,220622
Cons Burglary 3rd Degree ,511040,220623
Facl Burglary 3rd Degree,511040,220624
Comp Burglary 3rd Degree ,511040,220625
Criminal Mischief,,
Criminal Mischief - 1st degree,512020,14010
Att Criminal Mischief  - 1st Degree,512020,14011
Solc Criminal Mischief - 1st Degree,512020,14012
Cons Criminal Mischief - 1st Degree,512020,14013
Facl Criminal Mischief - 1st Degree,512020,14014
 Comp Criminal Mischief - 1st Degree,512020,14015
Criminal Mischief - 2nd degree,512030,14020
Att Criminal Mischief  - 2nd Degree,512030,14021
Solc Criminal Mischief - 2nd Degree,512030,14022
Cons Criminal Mischief - 2nd Degree,512030,14023
Facl Criminal Mischief - 2nd Degree,512030,14024
Comp Criminal Mischief - 2nd Degree,512030,14025
Criminal Mischief - 3rd degree,512040,14030
Att Criminal Mischief  - 3rd Degree,512040,14031
Solc Criminal Mischief - 3rd Degree,512040,14032
Cons Criminal Mischief - 3rd Degree,512040,14033
Facl Criminal Mischief - 3rd Degree,512040,14034
Comp Criminal Mischief - 3rd Degree,512040,14035
Criminal Trespass,,
Criminal Trespass - 1st Degree,511060,26160
Att Criminal Trespass - 1st Degree,511060,26161
Solc Criminal Trespass - 1st Degree,511060,26162
Cons Criminal Trespass - 1st Degree,511060,26163
Facl Criminal Trespass - 1st Degree,511060,26164
Comp Criminal Trespass - 1st Degree,511060,26165
Criminal Trespass - 3rd Degree,511080,26170
Att Criminal Trespass - 3rd Degree,511080,26171
Solc Criminal Trespass - 3rd Degree,511080,26172
Cons Criminal Trespass - 3rd Degree,511080,26173
Facl Criminal Trespass - 3rd Degree,511080,26174
Comp Criminal Trespass - 3rd Degree,511080,26175
Disorderly Conduct,,
Disorderly Conduct - 1st Degree,525055,23700
Att Disorderly Conduct - 1st Degree,525055,23701
Solc Disorderly Conduct - 1st Degree,525055,23702
Cons Disorderly Conduct - 1st Degree,525055,23703
Facl Disorderly Conduct - 1st Degree,525055,23704
Comp Disorderly Conduct - 1st Degree,525055,23705
Disorderly Conduct - 2nd Degree,525060,23710
Att Disorderly Conduct - 2nd Degree,525060,23711
Solc Disorderly Conduct - 2nd Degree,525060,23712
Cons Disorderly Conduct - 2nd Degree,525060,23713
Facl Disorderly Conduct - 2nd Degree,525060,23714
Comp Disorderly Conduct - 2nd Degree,525060,23715
False Reporting,,
Falsely Reporting an Incident,519040,26400
Att Falsely Reporting an Incident,519040,26401
Solc Falsely Reporting an Incident,519040,26402
Cons Falsely Reporting an Incident,519040,26403
Facl Falsely Reporting an Incident,519040,26404
Comp Falsely Reporting an Incident,519040,26405
Fleeing/Evading,,
Fleeing or Evading Police - 2nd Degree (Motor Vehicle),520100,1980
Att Fleeing or Evading Police - 2nd Degree (Motor Vehicle),520100,1981
Solc Fleeing or Evading Police - 2nd Degree (Motor Vehicle),520100,1982
Cons Fleeing or Evading Police - 2nd Degree (Motor Vehicle),520100,1983
Facl Fleeing or Evading Police - 2nd Degree (Motor Vehicle),520100,1984
Comp Fleeing or Evading Police - 2nd Degree (Motor Vehicle),520100,1985
Fleeing or Evading Police - 2nd Degree (On Foot),520100,1990
Att Fleeing or Evading Police - 2nd Degree (On Foot),520100,1991
Solc Fleeing or Evading Police - 2nd Degree (On Foot),520100,1992
Cons Fleeing or Evading Police - 2nd Degree (On Foot),520100,1993
Facl Fleeing or Evading Police - 2nd Degree (On Foot),520100,1994
Comp Fleeing or Evading Police - 2nd Degree (On Foot),520100,1995
Forgery,,
Forgery - 1st Degree,516020,250180
Att Forgery - 1st Degree,516020,250181
Solc Forgery - 1st Degree,516020,250182
Cons Forgery - 1st Degree,516020,250183
Facl Forgery - 1st Degree,516020,250184
Comp Forgery - 1st Degree,516020,250185
Forgery - 2nd Degree,516030,250190
Att Forgery - 2nd Degree,516030,250191
Solc Forgery - 2nd Degree,516030,250192
Cons Forgery - 2nd Degree,516030,250193
Facl Forgery - 2nd Degree,516030,250194
Comp Forgery - 2nd Degree,516030,250195
Forgery - 3rd Degree,516040,250230
Att Forgery - 3rd Degree,516040,250231
